country_or_region;date;variable;generation_twh
Europe;2019-10-01;Bioenergy;11.07
Europe;2019-10-01;Clean;212.32
Europe;2019-10-01;Coal;68.51
Europe;2019-10-01;Fossil;189.05
Europe;2019-10-01;Gas;111.88
Europe;2019-10-01;Hydro;60.07
Europe;2019-10-01;Nuclear;91.02
Europe;2019-10-01;Other Fossil;8.66
Europe;2019-10-01;Other Renewables;2.56
Europe;2019-10-01;Solar;9.58
Europe;2019-10-01;Wind;38.02
Europe;2019-10-01;Wind and solar;47.6
Europe;2019-11-01;Bioenergy;12.35
Europe;2019-11-01;Clean;225.07
Europe;2019-11-01;Coal;73.87
Europe;2019-11-01;Fossil;196.47
Europe;2019-11-01;Gas;113.73
Europe;2019-11-01;Hydro;70.97
Europe;2019-11-01;Nuclear;91.85
Europe;2019-11-01;Other Fossil;8.87
Europe;2019-11-01;Other Renewables;2.62
Europe;2019-11-01;Solar;5.03
Europe;2019-11-01;Wind;42.25
Europe;2019-11-01;Wind and solar;47.28
Europe;2019-12-01;Bioenergy;13
Europe;2019-12-01;Clean;245.08
Europe;2019-12-01;Coal;71.84
Europe;2019-12-01;Fossil;193.57
Europe;2019-12-01;Gas;112.57
Europe;2019-12-01;Hydro;74.38
Europe;2019-12-01;Nuclear;97.8
Europe;2019-12-01;Other Fossil;9.16
Europe;2019-12-01;Other Renewables;2.7
Europe;2019-12-01;Solar;4.4
Europe;2019-12-01;Wind;52.8
Europe;2019-12-01;Wind and solar;57.2
Europe;2020-01-01;Bioenergy;12.72
Europe;2020-01-01;Clean;247.38
Europe;2020-01-01;Coal;72.21
Europe;2020-01-01;Fossil;205.04
Europe;2020-01-01;Gas;123.7
Europe;2020-01-01;Hydro;70.03
Europe;2020-01-01;Nuclear;101.96
Europe;2020-01-01;Other Fossil;9.13
Europe;2020-01-01;Other Renewables;2.71
Europe;2020-01-01;Solar;5.53
Europe;2020-01-01;Wind;54.43
Europe;2020-01-01;Wind and solar;59.96
Europe;2020-02-01;Bioenergy;11.24
Europe;2020-02-01;Clean;244.88
Europe;2020-02-01;Coal;61.03
Europe;2020-02-01;Fossil;173.4
Europe;2020-02-01;Gas;103.94
Europe;2020-02-01;Hydro;69.94
Europe;2020-02-01;Nuclear;90.27
Europe;2020-02-01;Other Fossil;8.43
Europe;2020-02-01;Other Renewables;2.51
Europe;2020-02-01;Solar;8.22
Europe;2020-02-01;Wind;62.7
Europe;2020-02-01;Wind and solar;70.92
Europe;2020-03-01;Bioenergy;12.3
Europe;2020-03-01;Clean;251.35
Europe;2020-03-01;Coal;58.72
Europe;2020-03-01;Fossil;164.29
Europe;2020-03-01;Gas;97.09
Europe;2020-03-01;Hydro;79.26
Europe;2020-03-01;Nuclear;90.65
Europe;2020-03-01;Other Fossil;8.48
Europe;2020-03-01;Other Renewables;2.71
Europe;2020-03-01;Solar;14.12
Europe;2020-03-01;Wind;52.31
Europe;2020-03-01;Wind and solar;66.43
Europe;2020-04-01;Bioenergy;11.2
Europe;2020-04-01;Clean;219.3
Europe;2020-04-01;Coal;44.48
Europe;2020-04-01;Fossil;127.97
Europe;2020-04-01;Gas;76.23
Europe;2020-04-01;Hydro;71.13
Europe;2020-04-01;Nuclear;80.2
Europe;2020-04-01;Other Fossil;7.26
Europe;2020-04-01;Other Renewables;2.57
Europe;2020-04-01;Solar;19.59
Europe;2020-04-01;Wind;34.61
Europe;2020-04-01;Wind and solar;54.2
Europe;2020-05-01;Bioenergy;11.42
Europe;2020-05-01;Clean;222.52
Europe;2020-05-01;Coal;42.84
Europe;2020-05-01;Fossil;121.76
Europe;2020-05-01;Gas;71.86
Europe;2020-05-01;Hydro;77.48
Europe;2020-05-01;Nuclear;76.6
Europe;2020-05-01;Other Fossil;7.06
Europe;2020-05-01;Other Renewables;2.57
Europe;2020-05-01;Solar;21.72
Europe;2020-05-01;Wind;32.73
Europe;2020-05-01;Wind and solar;54.45
Europe;2020-06-01;Bioenergy;10.46
Europe;2020-06-01;Clean;204.7
Europe;2020-06-01;Coal;48.05
Europe;2020-06-01;Fossil;137.44
Europe;2020-06-01;Gas;82.64
Europe;2020-06-01;Hydro;73.18
Europe;2020-06-01;Nuclear;70.23
Europe;2020-06-01;Other Fossil;6.75
Europe;2020-06-01;Other Renewables;2.42
Europe;2020-06-01;Solar;20.58
Europe;2020-06-01;Wind;27.83
Europe;2020-06-01;Wind and solar;48.41
Europe;2020-07-01;Bioenergy;10.59
Europe;2020-07-01;Clean;210.16
Europe;2020-07-01;Coal;52.1
Europe;2020-07-01;Fossil;161.17
Europe;2020-07-01;Gas;101.72
Europe;2020-07-01;Hydro;69.05
Europe;2020-07-01;Nuclear;74.12
Europe;2020-07-01;Other Fossil;7.35
Europe;2020-07-01;Other Renewables;2.4
Europe;2020-07-01;Solar;22.32
Europe;2020-07-01;Wind;31.68
Europe;2020-07-01;Wind and solar;54
Europe;2020-08-01;Bioenergy;10.39
Europe;2020-08-01;Clean;204.44
Europe;2020-08-01;Coal;54.88
Europe;2020-08-01;Fossil;163.71
Europe;2020-08-01;Gas;101.03
Europe;2020-08-01;Hydro;66.58
Europe;2020-08-01;Nuclear;75.4
Europe;2020-08-01;Other Fossil;7.8
Europe;2020-08-01;Other Renewables;2.39
Europe;2020-08-01;Solar;20.24
Europe;2020-08-01;Wind;29.44
Europe;2020-08-01;Wind and solar;49.68
Europe;2020-09-01;Bioenergy;10.24
Europe;2020-09-01;Clean;202.25
Europe;2020-09-01;Coal;58.34
Europe;2020-09-01;Fossil;165.16
Europe;2020-09-01;Gas;98.86
Europe;2020-09-01;Hydro;62.72
Europe;2020-09-01;Nuclear;76.72
Europe;2020-09-01;Other Fossil;7.96
Europe;2020-09-01;Other Renewables;2.37
Europe;2020-09-01;Solar;16.66
Europe;2020-09-01;Wind;33.54
Europe;2020-09-01;Wind and solar;50.2
Europe;2020-10-01;Bioenergy;11.3
Europe;2020-10-01;Clean;230.78
Europe;2020-10-01;Coal;61.89
Europe;2020-10-01;Fossil;166.42
Europe;2020-10-01;Gas;96.47
Europe;2020-10-01;Hydro;69.6
Europe;2020-10-01;Nuclear;88.42
Europe;2020-10-01;Other Fossil;8.06
Europe;2020-10-01;Other Renewables;2.57
Europe;2020-10-01;Solar;10.31
Europe;2020-10-01;Wind;48.58
Europe;2020-10-01;Wind and solar;58.89
Europe;2020-11-01;Bioenergy;11.92
Europe;2020-11-01;Clean;221.06
Europe;2020-11-01;Coal;69.3
Europe;2020-11-01;Fossil;188.78
Europe;2020-11-01;Gas;111
Europe;2020-11-01;Hydro;65.43
Europe;2020-11-01;Nuclear;90.07
Europe;2020-11-01;Other Fossil;8.48
Europe;2020-11-01;Other Renewables;2.62
Europe;2020-11-01;Solar;7.06
Europe;2020-11-01;Wind;43.96
Europe;2020-11-01;Wind and solar;51.02
Europe;2020-12-01;Bioenergy;13.28
Europe;2020-12-01;Clean;242.19
Europe;2020-12-01;Coal;73.05
Europe;2020-12-01;Fossil;204.76
Europe;2020-12-01;Gas;122.8
Europe;2020-12-01;Hydro;71.98
Europe;2020-12-01;Nuclear;98.34
Europe;2020-12-01;Other Fossil;8.91
Europe;2020-12-01;Other Renewables;2.77
Europe;2020-12-01;Solar;4.41
Europe;2020-12-01;Wind;51.41
Europe;2020-12-01;Wind and solar;55.82
Europe;2021-01-01;Bioenergy;13.67
Europe;2021-01-01;Clean;251.06
Europe;2021-01-01;Coal;76.49
Europe;2021-01-01;Fossil;213.1
Europe;2021-01-01;Gas;127.33
Europe;2021-01-01;Hydro;79.07
Europe;2021-01-01;Nuclear;101.4
Europe;2021-01-01;Other Fossil;9.28
Europe;2021-01-01;Other Renewables;2.76
Europe;2021-01-01;Solar;5.05
Europe;2021-01-01;Wind;49.11
Europe;2021-01-01;Wind and solar;54.16
Europe;2021-02-01;Bioenergy;12.35
Europe;2021-02-01;Clean;235.98
Europe;2021-02-01;Coal;64.49
Europe;2021-02-01;Fossil;181
Europe;2021-02-01;Gas;108.12
Europe;2021-02-01;Hydro;74.36
Europe;2021-02-01;Nuclear;88.63
Europe;2021-02-01;Other Fossil;8.39
Europe;2021-02-01;Other Renewables;2.49
Europe;2021-02-01;Solar;8.95
Europe;2021-02-01;Wind;49.2
Europe;2021-02-01;Wind and solar;58.15
Europe;2021-03-01;Bioenergy;13.3
Europe;2021-03-01;Clean;249.29
Europe;2021-03-01;Coal;63.98
Europe;2021-03-01;Fossil;187.24
Europe;2021-03-01;Gas;114.83
Europe;2021-03-01;Hydro;72.69
Europe;2021-03-01;Nuclear;96.34
Europe;2021-03-01;Other Fossil;8.43
Europe;2021-03-01;Other Renewables;2.77
Europe;2021-03-01;Solar;16.14
Europe;2021-03-01;Wind;48.05
Europe;2021-03-01;Wind and solar;64.19
Europe;2021-04-01;Bioenergy;12.11
Europe;2021-04-01;Clean;226.54
Europe;2021-04-01;Coal;55.32
Europe;2021-04-01;Fossil;164.16
Europe;2021-04-01;Gas;101.19
Europe;2021-04-01;Hydro;69.02
Europe;2021-04-01;Nuclear;85.43
Europe;2021-04-01;Other Fossil;7.65
Europe;2021-04-01;Other Renewables;2.59
Europe;2021-04-01;Solar;19.77
Europe;2021-04-01;Wind;37.62
Europe;2021-04-01;Wind and solar;57.39
Europe;2021-05-01;Bioenergy;11.96
Europe;2021-05-01;Clean;238.54
Europe;2021-05-01;Coal;47.05
Europe;2021-05-01;Fossil;137.15
Europe;2021-05-01;Gas;82.53
Europe;2021-05-01;Hydro;79.06
Europe;2021-05-01;Nuclear;82.59
Europe;2021-05-01;Other Fossil;7.57
Europe;2021-05-01;Other Renewables;2.58
Europe;2021-05-01;Solar;23.08
Europe;2021-05-01;Wind;39.27
Europe;2021-05-01;Wind and solar;62.35
Europe;2021-06-01;Bioenergy;10.66
Europe;2021-06-01;Clean;218.93
Europe;2021-06-01;Coal;51.39
Europe;2021-06-01;Fossil;148.56
Europe;2021-06-01;Gas;89.85
Europe;2021-06-01;Hydro;75.23
Europe;2021-06-01;Nuclear;81.37
Europe;2021-06-01;Other Fossil;7.32
Europe;2021-06-01;Other Renewables;2.46
Europe;2021-06-01;Solar;25.4
Europe;2021-06-01;Wind;23.81
Europe;2021-06-01;Wind and solar;49.21
Europe;2021-07-01;Bioenergy;10.99
Europe;2021-07-01;Clean;224.74
Europe;2021-07-01;Coal;58.6
Europe;2021-07-01;Fossil;163.19
Europe;2021-07-01;Gas;96.61
Europe;2021-07-01;Hydro;71.67
Europe;2021-07-01;Nuclear;85.18
Europe;2021-07-01;Other Fossil;7.98
Europe;2021-07-01;Other Renewables;2.5
Europe;2021-07-01;Solar;24.71
Europe;2021-07-01;Wind;29.69
Europe;2021-07-01;Wind and solar;54.4
Europe;2021-08-01;Bioenergy;11.02
Europe;2021-08-01;Clean;220.95
Europe;2021-08-01;Coal;59.49
Europe;2021-08-01;Fossil;160.09
Europe;2021-08-01;Gas;92.51
Europe;2021-08-01;Hydro;67.48
Europe;2021-08-01;Nuclear;84.44
Europe;2021-08-01;Other Fossil;8.09
Europe;2021-08-01;Other Renewables;2.44
Europe;2021-08-01;Solar;21.99
Europe;2021-08-01;Wind;33.58
Europe;2021-08-01;Wind and solar;55.57
Europe;2021-09-01;Bioenergy;10.97
Europe;2021-09-01;Clean;205.04
Europe;2021-09-01;Coal;64.41
Europe;2021-09-01;Fossil;171.32
Europe;2021-09-01;Gas;99.03
Europe;2021-09-01;Hydro;57.04
Europe;2021-09-01;Nuclear;86.47
Europe;2021-09-01;Other Fossil;7.88
Europe;2021-09-01;Other Renewables;2.49
Europe;2021-09-01;Solar;18.51
Europe;2021-09-01;Wind;29.56
Europe;2021-09-01;Wind and solar;48.07
Europe;2021-10-01;Bioenergy;12.25
Europe;2021-10-01;Clean;228.15
Europe;2021-10-01;Coal;65.43
Europe;2021-10-01;Fossil;175.71
Europe;2021-10-01;Gas;101.94
Europe;2021-10-01;Hydro;56.31
Europe;2021-10-01;Nuclear;91.67
Europe;2021-10-01;Other Fossil;8.34
Europe;2021-10-01;Other Renewables;2.68
Europe;2021-10-01;Solar;13.83
Europe;2021-10-01;Wind;51.41
Europe;2021-10-01;Wind and solar;65.24
Europe;2021-11-01;Bioenergy;12.98
Europe;2021-11-01;Clean;223.74
Europe;2021-11-01;Coal;73.55
Europe;2021-11-01;Fossil;204.78
Europe;2021-11-01;Gas;122.15
Europe;2021-11-01;Hydro;61.23
Europe;2021-11-01;Nuclear;92.35
Europe;2021-11-01;Other Fossil;9.08
Europe;2021-11-01;Other Renewables;2.64
Europe;2021-11-01;Solar;7.29
Europe;2021-11-01;Wind;47.25
Europe;2021-11-01;Wind and solar;54.54
Europe;2021-12-01;Bioenergy;14.39
Europe;2021-12-01;Clean;246.23
Europe;2021-12-01;Coal;78.91
Europe;2021-12-01;Fossil;217.39
Europe;2021-12-01;Gas;128.62
Europe;2021-12-01;Hydro;69.32
Europe;2021-12-01;Nuclear;98.3
Europe;2021-12-01;Other Fossil;9.86
Europe;2021-12-01;Other Renewables;2.76
Europe;2021-12-01;Solar;5.41
Europe;2021-12-01;Wind;56.05
Europe;2021-12-01;Wind and solar;61.46
Europe;2022-01-01;Bioenergy;13.78
Europe;2022-01-01;Clean;251.76
Europe;2022-01-01;Coal;77.3
Europe;2022-01-01;Fossil;216.19
Europe;2022-01-01;Gas;129.18
Europe;2022-01-01;Hydro;67.87
Europe;2022-01-01;Nuclear;99.36
Europe;2022-01-01;Other Fossil;9.71
Europe;2022-01-01;Other Renewables;2.86
Europe;2022-01-01;Solar;7.39
Europe;2022-01-01;Wind;60.5
Europe;2022-01-01;Wind and solar;67.89
Europe;2022-02-01;Bioenergy;12.23
Europe;2022-02-01;Clean;235.95
Europe;2022-02-01;Coal;65.1
Europe;2022-02-01;Fossil;176.67
Europe;2022-02-01;Gas;103.38
Europe;2022-02-01;Hydro;57.55
Europe;2022-02-01;Nuclear;85.26
Europe;2022-02-01;Other Fossil;8.19
Europe;2022-02-01;Other Renewables;2.56
Europe;2022-02-01;Solar;10.98
Europe;2022-02-01;Wind;67.37
Europe;2022-02-01;Wind and solar;78.35
Europe;2022-03-01;Bioenergy;13.29
Europe;2022-03-01;Clean;233.22
Europe;2022-03-01;Coal;75.1
Europe;2022-03-01;Fossil;199.07
Europe;2022-03-01;Gas;114.6
Europe;2022-03-01;Hydro;65.83
Europe;2022-03-01;Nuclear;86.7
Europe;2022-03-01;Other Fossil;9.37
Europe;2022-03-01;Other Renewables;2.88
Europe;2022-03-01;Solar;19.17
Europe;2022-03-01;Wind;45.35
Europe;2022-03-01;Wind and solar;64.52
Europe;2022-04-01;Bioenergy;11.88
Europe;2022-04-01;Clean;227.16
Europe;2022-04-01;Coal;58.71
Europe;2022-04-01;Fossil;157.09
Europe;2022-04-01;Gas;90.74
Europe;2022-04-01;Hydro;66.48
Europe;2022-04-01;Nuclear;77.05
Europe;2022-04-01;Other Fossil;7.64
Europe;2022-04-01;Other Renewables;2.65
Europe;2022-04-01;Solar;23.06
Europe;2022-04-01;Wind;46.04
Europe;2022-04-01;Wind and solar;69.1
Europe;2022-05-01;Bioenergy;11.23
Europe;2022-05-01;Clean;223.81
Europe;2022-05-01;Coal;53.37
Europe;2022-05-01;Fossil;147.64
Europe;2022-05-01;Gas;86.65
Europe;2022-05-01;Hydro;72.15
Europe;2022-05-01;Nuclear;71.55
Europe;2022-05-01;Other Fossil;7.62
Europe;2022-05-01;Other Renewables;2.64
Europe;2022-05-01;Solar;29.14
Europe;2022-05-01;Wind;37.1
Europe;2022-05-01;Wind and solar;66.24
Europe;2022-06-01;Bioenergy;10.88
Europe;2022-06-01;Clean;210.69
Europe;2022-06-01;Coal;56.36
Europe;2022-06-01;Fossil;152.41
Europe;2022-06-01;Gas;88.69
Europe;2022-06-01;Hydro;68.57
Europe;2022-06-01;Nuclear;68.1
Europe;2022-06-01;Other Fossil;7.36
Europe;2022-06-01;Other Renewables;2.38
Europe;2022-06-01;Solar;30.09
Europe;2022-06-01;Wind;30.67
Europe;2022-06-01;Wind and solar;60.76
Europe;2022-07-01;Bioenergy;11.32
Europe;2022-07-01;Clean;212.94
Europe;2022-07-01;Coal;61.3
Europe;2022-07-01;Fossil;166.53
Europe;2022-07-01;Gas;97.41
Europe;2022-07-01;Hydro;60.46
Europe;2022-07-01;Nuclear;71.52
Europe;2022-07-01;Other Fossil;7.82
Europe;2022-07-01;Other Renewables;2.43
Europe;2022-07-01;Solar;31.7
Europe;2022-07-01;Wind;35.51
Europe;2022-07-01;Wind and solar;67.21
Europe;2022-08-01;Bioenergy;11.27
Europe;2022-08-01;Clean;199.87
Europe;2022-08-01;Coal;64.83
Europe;2022-08-01;Fossil;176.04
Europe;2022-08-01;Gas;103.61
Europe;2022-08-01;Hydro;56.71
Europe;2022-08-01;Nuclear;71.22
Europe;2022-08-01;Other Fossil;7.6
Europe;2022-08-01;Other Renewables;2.44
Europe;2022-08-01;Solar;28.99
Europe;2022-08-01;Wind;29.24
Europe;2022-08-01;Wind and solar;58.23
Europe;2022-09-01;Bioenergy;11.34
Europe;2022-09-01;Clean;193.66
Europe;2022-09-01;Coal;64.94
Europe;2022-09-01;Fossil;169.38
Europe;2022-09-01;Gas;96.74
Europe;2022-09-01;Hydro;50.53
Europe;2022-09-01;Nuclear;71.36
Europe;2022-09-01;Other Fossil;7.7
Europe;2022-09-01;Other Renewables;2.41
Europe;2022-09-01;Solar;21.13
Europe;2022-09-01;Wind;36.89
Europe;2022-09-01;Wind and solar;58.02
Europe;2022-10-01;Bioenergy;10.69
Europe;2022-10-01;Clean;206.28
Europe;2022-10-01;Coal;64.07
Europe;2022-10-01;Fossil;172.28
Europe;2022-10-01;Gas;100.27
Europe;2022-10-01;Hydro;52.16
Europe;2022-10-01;Nuclear;73.76
Europe;2022-10-01;Other Fossil;7.94
Europe;2022-10-01;Other Renewables;2.61
Europe;2022-10-01;Solar;16.1
Europe;2022-10-01;Wind;50.96
Europe;2022-10-01;Wind and solar;67.06
Europe;2022-11-01;Bioenergy;12.17
Europe;2022-11-01;Clean;214.57
Europe;2022-11-01;Coal;72.11
Europe;2022-11-01;Fossil;184.75
Europe;2022-11-01;Gas;104.32
Europe;2022-11-01;Hydro;57.08
Europe;2022-11-01;Nuclear;77.66
Europe;2022-11-01;Other Fossil;8.32
Europe;2022-11-01;Other Renewables;2.59
Europe;2022-11-01;Solar;8.99
Europe;2022-11-01;Wind;56.08
Europe;2022-11-01;Wind and solar;65.07
Europe;2022-12-01;Bioenergy;13.48
Europe;2022-12-01;Clean;224.75
Europe;2022-12-01;Coal;82.04
Europe;2022-12-01;Fossil;213.4
Europe;2022-12-01;Gas;122.15
Europe;2022-12-01;Hydro;64.22
Europe;2022-12-01;Nuclear;85.2
Europe;2022-12-01;Other Fossil;9.21
Europe;2022-12-01;Other Renewables;2.71
Europe;2022-12-01;Solar;5.65
Europe;2022-12-01;Wind;53.49
Europe;2022-12-01;Wind and solar;59.14
Europe;2023-01-01;Bioenergy;12.61
Europe;2023-01-01;Clean;246.86
Europe;2023-01-01;Coal;75.68
Europe;2023-01-01;Fossil;196.47
Europe;2023-01-01;Gas;111.78
Europe;2023-01-01;Hydro;67.52
Europe;2023-01-01;Nuclear;87.61
Europe;2023-01-01;Other Fossil;9.01
Europe;2023-01-01;Other Renewables;2.72
Europe;2023-01-01;Solar;7.74
Europe;2023-01-01;Wind;68.66
Europe;2023-01-01;Wind and solar;76.4
Europe;2023-02-01;Bioenergy;11.74
Europe;2023-02-01;Clean;213.9
Europe;2023-02-01;Coal;67.97
Europe;2023-02-01;Fossil;186.54
Europe;2023-02-01;Gas;110.14
Europe;2023-02-01;Hydro;57.27
Europe;2023-02-01;Nuclear;78.11
Europe;2023-02-01;Other Fossil;8.43
Europe;2023-02-01;Other Renewables;2.46
Europe;2023-02-01;Solar;12.78
Europe;2023-02-01;Wind;51.54
Europe;2023-02-01;Wind and solar;64.32
Europe;2023-03-01;Bioenergy;12.18
Europe;2023-03-01;Clean;238.81
Europe;2023-03-01;Coal;63.88
Europe;2023-03-01;Fossil;177.57
Europe;2023-03-01;Gas;104.91
Europe;2023-03-01;Hydro;65.62
Europe;2023-03-01;Nuclear;79.72
Europe;2023-03-01;Other Fossil;8.78
Europe;2023-03-01;Other Renewables;2.66
Europe;2023-03-01;Solar;19.42
Europe;2023-03-01;Wind;59.21
Europe;2023-03-01;Wind and solar;78.63
Europe;2023-04-01;Bioenergy;11.16
Europe;2023-04-01;Clean;225.06
Europe;2023-04-01;Coal;50.78
Europe;2023-04-01;Fossil;143.81
Europe;2023-04-01;Gas;85.83
Europe;2023-04-01;Hydro;66.22
Europe;2023-04-01;Nuclear;75.22
Europe;2023-04-01;Other Fossil;7.2
Europe;2023-04-01;Other Renewables;2.55
Europe;2023-04-01;Solar;26.75
Europe;2023-04-01;Wind;43.16
Europe;2023-04-01;Wind and solar;69.91
Europe;2023-05-01;Bioenergy;9.84
Europe;2023-05-01;Clean;227.12
Europe;2023-05-01;Coal;44.45
Europe;2023-05-01;Fossil;130.99
Europe;2023-05-01;Gas;79.57
Europe;2023-05-01;Hydro;72.94
Europe;2023-05-01;Nuclear;68.71
Europe;2023-05-01;Other Fossil;6.97
Europe;2023-05-01;Other Renewables;2.54
Europe;2023-05-01;Solar;33.28
Europe;2023-05-01;Wind;39.81
Europe;2023-05-01;Wind and solar;73.09
Europe;2023-06-01;Bioenergy;8.66
Europe;2023-06-01;Clean;217.36
Europe;2023-06-01;Coal;44.16
Europe;2023-06-01;Fossil;128.38
Europe;2023-06-01;Gas;78.05
Europe;2023-06-01;Hydro;70.93
Europe;2023-06-01;Nuclear;69.67
Europe;2023-06-01;Other Fossil;6.17
Europe;2023-06-01;Other Renewables;2.33
Europe;2023-06-01;Solar;37.01
Europe;2023-06-01;Wind;28.76
Europe;2023-06-01;Wind and solar;65.77
Europe;2023-07-01;Bioenergy;9.5
Europe;2023-07-01;Clean;228.56
Europe;2023-07-01;Coal;48.47
Europe;2023-07-01;Fossil;142.69
Europe;2023-07-01;Gas;87.32
Europe;2023-07-01;Hydro;64.63
Europe;2023-07-01;Nuclear;74.6
Europe;2023-07-01;Other Fossil;6.9
Europe;2023-07-01;Other Renewables;2.36
Europe;2023-07-01;Solar;36.42
Europe;2023-07-01;Wind;41.05
Europe;2023-07-01;Wind and solar;77.47
Europe;2023-08-01;Bioenergy;9.64
Europe;2023-08-01;Clean;220.18
Europe;2023-08-01;Coal;51.72
Europe;2023-08-01;Fossil;150.43
Europe;2023-08-01;Gas;91.41
Europe;2023-08-01;Hydro;65.64
Europe;2023-08-01;Nuclear;73.22
Europe;2023-08-01;Other Fossil;7.3
Europe;2023-08-01;Other Renewables;2.31
Europe;2023-08-01;Solar;32.84
Europe;2023-08-01;Wind;36.53
Europe;2023-08-01;Wind and solar;69.37
Europe;2023-09-01;Bioenergy;9.62
Europe;2023-09-01;Clean;212
Europe;2023-09-01;Coal;52.02
Europe;2023-09-01;Fossil;145.22
Europe;2023-09-01;Gas;86.2
Europe;2023-09-01;Hydro;58.93
Europe;2023-09-01;Nuclear;74.59
Europe;2023-09-01;Other Fossil;7
Europe;2023-09-01;Other Renewables;2.4
Europe;2023-09-01;Solar;29
Europe;2023-09-01;Wind;37.46
Europe;2023-09-01;Wind and solar;66.46
Europe;2023-10-01;Bioenergy;10.65
Europe;2023-10-01;Clean;228.69
Europe;2023-10-01;Coal;57.74
Europe;2023-10-01;Fossil;156.09
Europe;2023-10-01;Gas;90.84
Europe;2023-10-01;Hydro;61.49
Europe;2023-10-01;Nuclear;78.94
Europe;2023-10-01;Other Fossil;7.51
Europe;2023-10-01;Other Renewables;2.58
Europe;2023-10-01;Solar;18.59
Europe;2023-10-01;Wind;56.44
Europe;2023-10-01;Wind and solar;75.03
Europe;2023-11-01;Bioenergy;11.83
Europe;2023-11-01;Clean;241.98
Europe;2023-11-01;Coal;63.02
Europe;2023-11-01;Fossil;167.05
Europe;2023-11-01;Gas;95.99
Europe;2023-11-01;Hydro;73.46
Europe;2023-11-01;Nuclear;79.06
Europe;2023-11-01;Other Fossil;8.04
Europe;2023-11-01;Other Renewables;2.63
Europe;2023-11-01;Solar;10.76
Europe;2023-11-01;Wind;64.24
Europe;2023-11-01;Wind and solar;75
Europe;2023-12-01;Bioenergy;12.43
Europe;2023-12-01;Clean;259.06
Europe;2023-12-01;Coal;65.86
Europe;2023-12-01;Fossil;181.81
Europe;2023-12-01;Gas;107.41
Europe;2023-12-01;Hydro;77.45
Europe;2023-12-01;Nuclear;87.98
Europe;2023-12-01;Other Fossil;8.54
Europe;2023-12-01;Other Renewables;2.72
Europe;2023-12-01;Solar;8.38
Europe;2023-12-01;Wind;70.1
Europe;2023-12-01;Wind and solar;78.48
Europe;2024-01-01;Bioenergy;12.58
Europe;2024-01-01;Clean;269.56
Europe;2024-01-01;Coal;65.44
Europe;2024-01-01;Fossil;191.5
Europe;2024-01-01;Gas;117.11
Europe;2024-01-01;Hydro;80.59
Europe;2024-01-01;Nuclear;91.11
Europe;2024-01-01;Other Fossil;8.95
Europe;2024-01-01;Other Renewables;2.69
Europe;2024-01-01;Solar;10.32
Europe;2024-01-01;Wind;72.27
Europe;2024-01-01;Wind and solar;82.59
Europe;2024-02-01;Bioenergy;11.68
Europe;2024-02-01;Clean;247.88
Europe;2024-02-01;Coal;58
Europe;2024-02-01;Fossil;164.5
Europe;2024-02-01;Gas;98.71
Europe;2024-02-01;Hydro;71.9
Europe;2024-02-01;Nuclear;80.45
Europe;2024-02-01;Other Fossil;7.79
Europe;2024-02-01;Other Renewables;2.58
Europe;2024-02-01;Solar;14.45
Europe;2024-02-01;Wind;66.82
Europe;2024-02-01;Wind and solar;81.27
Europe;2024-03-01;Bioenergy;12.13
Europe;2024-03-01;Clean;251.87
Europe;2024-03-01;Coal;56.44
Europe;2024-03-01;Fossil;160.45
Europe;2024-03-01;Gas;96.45
Europe;2024-03-01;Hydro;79.04
Europe;2024-03-01;Nuclear;79.89
Europe;2024-03-01;Other Fossil;7.56
Europe;2024-03-01;Other Renewables;2.69
Europe;2024-03-01;Solar;23.84
Europe;2024-03-01;Wind;54.28
Europe;2024-03-01;Wind and solar;78.12
Europe;2024-04-01;Bioenergy;11.65
Europe;2024-04-01;Clean;247.5
Europe;2024-04-01;Coal;42.47
Europe;2024-04-01;Fossil;125.02
Europe;2024-04-01;Gas;76.05
Europe;2024-04-01;Hydro;74.33
Europe;2024-04-01;Nuclear;73.2
Europe;2024-04-01;Other Fossil;6.5
Europe;2024-04-01;Other Renewables;2.48
Europe;2024-04-01;Solar;32.21
Europe;2024-04-01;Wind;53.63
Europe;2024-04-01;Wind and solar;85.84
Europe;2024-05-01;Bioenergy;11.21
Europe;2024-05-01;Clean;240.07
Europe;2024-05-01;Coal;41.14
Europe;2024-05-01;Fossil;119.41
Europe;2024-05-01;Gas;71.74
Europe;2024-05-01;Hydro;79.67
Europe;2024-05-01;Nuclear;71.85
Europe;2024-05-01;Other Fossil;6.53
Europe;2024-05-01;Other Renewables;2.54
Europe;2024-05-01;Solar;39.93
Europe;2024-05-01;Wind;34.87
Europe;2024-05-01;Wind and solar;74.8
