Année,Prix kwt
2015,37.8095
2016,35.591203703703705
2017,41.79690476190476
2018,50.262589285714284
2019,45.32288690476191
2020,33.79252976190476
2021,101.6210119047619
2022,230.65455357142858
2023,97.5442959770115
2024,68.22689655172414
